instance_id,bin_capacity,bins_array,method,time_taken
0,10,1,BestCase,9.170000000030543e-07
0,10,2,BestCase,9.170000000030543e-07
0,10,4,BestCase,9.170000000030543e-07
1,10,1,BestCase,2.5000000000025e-07
1,10,2,BestCase,2.5000000000025e-07
1,10,4,BestCase,2.5000000000025e-07
2,15,1,BestCase,1.6600000000283055e-07
2,15,2,BestCase,1.6600000000283055e-07
2,15,4,BestCase,1.6600000000283055e-07
3,20,1,BestCase,1.669999999953653e-07
3,20,2,BestCase,1.669999999953653e-07
3,20,4,BestCase,1.669999999953653e-07
4,12,1,BestCase,1.670000000023042e-07
4,12,2,BestCase,1.670000000023042e-07
4,12,4,BestCase,1.670000000023042e-07
5,18,1,BestCase,2.0900000000101393e-07
5,18,2,BestCase,2.0900000000101393e-07
5,18,4,BestCase,2.0900000000101393e-07
6,25,1,BestCase,1.2500000000359446e-07
6,25,2,BestCase,1.2500000000359446e-07
6,25,4,BestCase,1.2500000000359446e-07
7,30,1,BestCase,1.670000000023042e-07
7,30,2,BestCase,1.670000000023042e-07
7,30,4,BestCase,1.670000000023042e-07
8,16,1,BestCase,1.669999999953653e-07
8,16,2,BestCase,1.669999999953653e-07
8,16,4,BestCase,1.669999999953653e-07
9,22,1,BestCase,1.6600000000283055e-07
9,22,2,BestCase,1.6600000000283055e-07
9,22,4,BestCase,1.6600000000283055e-07
10,28,1,BestCase,1.6599999999589166e-07
10,28,2,BestCase,1.6599999999589166e-07
10,28,4,BestCase,1.6599999999589166e-07
11,35,1,BestCase,1.670000000023042e-07
11,35,2,BestCase,1.670000000023042e-07
11,35,4,BestCase,1.670000000023042e-07
12,40,1,BestCase,2.0900000000101393e-07
12,40,2,BestCase,2.0900000000101393e-07
12,40,4,BestCase,2.0900000000101393e-07
13,50,1,BestCase,1.670000000023042e-07
13,50,2,BestCase,1.670000000023042e-07
13,50,4,BestCase,1.670000000023042e-07
14,33,1,BestCase,1.669999999953653e-07
14,33,2,BestCase,1.669999999953653e-07
14,33,4,BestCase,1.669999999953653e-07
15,27,1,BestCase,1.670000000023042e-07
15,27,2,BestCase,1.670000000023042e-07
15,27,4,BestCase,1.670000000023042e-07
16,45,1,BestCase,1.670000000023042e-07
16,45,2,BestCase,1.670000000023042e-07
16,45,4,BestCase,1.670000000023042e-07
17,60,1,BestCase,1.669999999953653e-07
17,60,2,BestCase,1.669999999953653e-07
17,60,4,BestCase,1.669999999953653e-07
18,24,1,BestCase,1.669999999953653e-07
18,24,2,BestCase,1.669999999953653e-07
18,24,4,BestCase,1.669999999953653e-07
19,20,1,BestCase,1.670000000023042e-07
19,20,2,BestCase,1.670000000023042e-07
19,20,4,BestCase,1.670000000023042e-07
20,20,1,BestCase,1.669999999953653e-07
20,20,2,BestCase,1.669999999953653e-07
20,20,4,BestCase,1.669999999953653e-07
21,20,1,BestCase,1.6600000000283055e-07
21,20,2,BestCase,1.6600000000283055e-07
21,20,4,BestCase,1.6600000000283055e-07
22,20,1,BestCase,1.6599999999589166e-07
22,20,2,BestCase,1.6599999999589166e-07
22,20,4,BestCase,1.6599999999589166e-07
23,20,1,BestCase,1.670000000023042e-07
23,20,2,BestCase,1.670000000023042e-07
23,20,4,BestCase,1.670000000023042e-07
24,20,1,BestCase,1.669999999953653e-07
24,20,2,BestCase,1.669999999953653e-07
24,20,4,BestCase,1.669999999953653e-07
25,20,1,BestCase,1.670000000023042e-07
25,20,2,BestCase,1.670000000023042e-07
25,20,4,BestCase,1.670000000023042e-07
26,20,1,BestCase,1.670000000023042e-07
26,20,2,BestCase,1.670000000023042e-07
26,20,4,BestCase,1.670000000023042e-07
27,20,1,BestCase,1.6600000000283055e-07
27,20,2,BestCase,1.6600000000283055e-07
27,20,4,BestCase,1.6600000000283055e-07
28,20,1,BestCase,1.669999999953653e-07
28,20,2,BestCase,1.669999999953653e-07
28,20,4,BestCase,1.669999999953653e-07
29,20,1,BestCase,1.670000000023042e-07
29,20,2,BestCase,1.670000000023042e-07
29,20,4,BestCase,1.670000000023042e-07
30,18,1,BestCase,1.6599999999589166e-07
30,18,2,BestCase,1.6599999999589166e-07
30,18,4,BestCase,1.6599999999589166e-07
31,22,1,BestCase,1.6599999999589166e-07
31,22,2,BestCase,1.6599999999589166e-07
31,22,4,BestCase,1.6599999999589166e-07
32,26,1,BestCase,1.6600000000283055e-07
32,26,2,BestCase,1.6600000000283055e-07
32,26,4,BestCase,1.6600000000283055e-07
33,14,1,BestCase,1.669999999953653e-07
33,14,2,BestCase,1.669999999953653e-07
33,14,4,BestCase,1.669999999953653e-07
34,28,1,BestCase,1.670000000023042e-07
34,28,2,BestCase,1.670000000023042e-07
34,28,4,BestCase,1.670000000023042e-07
35,32,1,BestCase,1.6599999999589166e-07
35,32,2,BestCase,1.6599999999589166e-07
35,32,4,BestCase,1.6599999999589166e-07
36,21,1,BestCase,1.6600000000283055e-07
36,21,2,BestCase,1.6600000000283055e-07
36,21,4,BestCase,1.6600000000283055e-07
37,25,1,BestCase,1.670000000023042e-07
37,25,2,BestCase,1.670000000023042e-07
37,25,4,BestCase,1.670000000023042e-07
38,19,1,BestCase,1.670000000023042e-07
38,19,2,BestCase,1.670000000023042e-07
38,19,4,BestCase,1.670000000023042e-07
39,31,1,BestCase,1.6600000000283055e-07
39,31,2,BestCase,1.6600000000283055e-07
39,31,4,BestCase,1.6600000000283055e-07
40,36,1,BestCase,1.6599999999589166e-07
40,36,2,BestCase,1.6599999999589166e-07
40,36,4,BestCase,1.6599999999589166e-07
41,15,1,BestCase,1.6600000000283055e-07
41,15,2,BestCase,1.6600000000283055e-07
41,15,4,BestCase,1.6600000000283055e-07
42,17,1,BestCase,1.670000000023042e-07
42,17,2,BestCase,1.670000000023042e-07
42,17,4,BestCase,1.670000000023042e-07
43,23,1,BestCase,1.670000000023042e-07
43,23,2,BestCase,1.670000000023042e-07
43,23,4,BestCase,1.670000000023042e-07
44,27,1,BestCase,1.6600000000283055e-07
44,27,2,BestCase,1.6600000000283055e-07
44,27,4,BestCase,1.6600000000283055e-07
45,29,1,BestCase,1.6599999999589166e-07
45,29,2,BestCase,1.6599999999589166e-07
45,29,4,BestCase,1.6599999999589166e-07
46,33,1,BestCase,1.670000000023042e-07
46,33,2,BestCase,1.670000000023042e-07
46,33,4,BestCase,1.670000000023042e-07
47,37,1,BestCase,1.670000000023042e-07
47,37,2,BestCase,1.670000000023042e-07
47,37,4,BestCase,1.670000000023042e-07
48,41,1,BestCase,1.6599999999589166e-07
48,41,2,BestCase,1.6599999999589166e-07
48,41,4,BestCase,1.6599999999589166e-07
49,45,1,BestCase,1.670000000023042e-07
49,45,2,BestCase,1.670000000023042e-07
49,45,4,BestCase,1.670000000023042e-07
50,49,1,BestCase,1.670000000023042e-07
50,49,2,BestCase,1.670000000023042e-07
50,49,4,BestCase,1.670000000023042e-07
51,53,1,BestCase,1.669999999953653e-07
51,53,2,BestCase,1.669999999953653e-07
51,53,4,BestCase,1.669999999953653e-07
52,57,1,BestCase,1.670000000023042e-07
52,57,2,BestCase,1.670000000023042e-07
52,57,4,BestCase,1.670000000023042e-07
53,61,1,BestCase,2.0900000000101393e-07
53,61,2,BestCase,2.0900000000101393e-07
53,61,4,BestCase,2.0900000000101393e-07
54,65,1,BestCase,1.669999999953653e-07
54,65,2,BestCase,1.669999999953653e-07
54,65,4,BestCase,1.669999999953653e-07
55,12,1,BestCase,1.2500000000359446e-07
55,12,2,BestCase,1.2500000000359446e-07
55,12,4,BestCase,1.2500000000359446e-07
56,16,1,BestCase,1.669999999953653e-07
56,16,2,BestCase,1.669999999953653e-07
56,16,4,BestCase,1.669999999953653e-07
57,18,1,BestCase,2.0800000000154029e-07
57,18,2,BestCase,2.0800000000154029e-07
57,18,4,BestCase,2.0800000000154029e-07
58,22,1,BestCase,1.670000000023042e-07
58,22,2,BestCase,1.670000000023042e-07
58,22,4,BestCase,1.670000000023042e-07
59,26,1,BestCase,1.670000000023042e-07
59,26,2,BestCase,1.670000000023042e-07
59,26,4,BestCase,1.670000000023042e-07
60,30,1,BestCase,1.670000000023042e-07
60,30,2,BestCase,1.670000000023042e-07
60,30,4,BestCase,1.670000000023042e-07
61,34,1,BestCase,1.670000000023042e-07
61,34,2,BestCase,1.670000000023042e-07
61,34,4,BestCase,1.670000000023042e-07
62,38,1,BestCase,1.670000000023042e-07
62,38,2,BestCase,1.670000000023042e-07
62,38,4,BestCase,1.670000000023042e-07
63,42,1,BestCase,2.079999999946014e-07
63,42,2,BestCase,2.079999999946014e-07
63,42,4,BestCase,2.079999999946014e-07
64,46,1,BestCase,2.0800000000154029e-07
64,46,2,BestCase,2.0800000000154029e-07
64,46,4,BestCase,2.0800000000154029e-07
65,50,1,BestCase,1.6600000000283055e-07
65,50,2,BestCase,1.6600000000283055e-07
65,50,4,BestCase,1.6600000000283055e-07
66,54,1,BestCase,1.6600000000283055e-07
66,54,2,BestCase,1.6600000000283055e-07
66,54,4,BestCase,1.6600000000283055e-07
67,58,1,BestCase,1.670000000023042e-07
67,58,2,BestCase,1.670000000023042e-07
67,58,4,BestCase,1.670000000023042e-07
68,62,1,BestCase,1.6599999999589166e-07
68,62,2,BestCase,1.6599999999589166e-07
68,62,4,BestCase,1.6599999999589166e-07
69,66,1,BestCase,1.670000000023042e-07
69,66,2,BestCase,1.670000000023042e-07
69,66,4,BestCase,1.670000000023042e-07
70,70,1,BestCase,1.669999999953653e-07
70,70,2,BestCase,1.669999999953653e-07
70,70,4,BestCase,1.669999999953653e-07
71,74,1,BestCase,1.6600000000283055e-07
71,74,2,BestCase,1.6600000000283055e-07
71,74,4,BestCase,1.6600000000283055e-07
72,78,1,BestCase,1.6599999999589166e-07
72,78,2,BestCase,1.6599999999589166e-07
72,78,4,BestCase,1.6599999999589166e-07
73,82,1,BestCase,2.0800000000154029e-07
73,82,2,BestCase,2.0800000000154029e-07
73,82,4,BestCase,2.0800000000154029e-07
74,86,1,BestCase,1.670000000023042e-07
74,86,2,BestCase,1.670000000023042e-07
74,86,4,BestCase,1.670000000023042e-07
75,90,1,BestCase,1.6599999999589166e-07
75,90,2,BestCase,1.6599999999589166e-07
75,90,4,BestCase,1.6599999999589166e-07
76,94,1,BestCase,1.670000000023042e-07
76,94,2,BestCase,1.670000000023042e-07
76,94,4,BestCase,1.670000000023042e-07
77,98,1,BestCase,1.670000000023042e-07
77,98,2,BestCase,1.670000000023042e-07
77,98,4,BestCase,1.670000000023042e-07
78,102,1,BestCase,1.670000000023042e-07
78,102,2,BestCase,1.670000000023042e-07
78,102,4,BestCase,1.670000000023042e-07
79,106,1,BestCase,1.670000000023042e-07
79,106,2,BestCase,1.670000000023042e-07
79,106,4,BestCase,1.670000000023042e-07
