instance_id,bin_capacity,bins_array,method,time_taken
0,10,"[1, 3, 6]",BruteForce,0.0001619000004211557
0,10,"[7, 3]",BruteForce,0.0001619000004211557
0,10,"[4, 6]",BruteForce,0.0001619000004211557
0,10,"[5, 4, 1]",BruteForce,0.0001619000004211557
0,10,"[2, 8]",BruteForce,0.0001619000004211557
0,10,"[2, 7, 1]",BruteForce,0.0001619000004211557
0,10,"[2, 4, 1, 3]",BruteForce,0.0001619000004211557
0,10,"[2, 5, 3]",BruteForce,0.0001619000004211557
1,10,"[1, 3, 6]",BruteForce,0.00011540000014065299
1,10,"[7, 3]",BruteForce,0.00011540000014065299
1,10,"[4, 6]",BruteForce,0.00011540000014065299
1,10,"[5, 4, 1]",BruteForce,0.00011540000014065299
1,10,"[2, 8]",BruteForce,0.00011540000014065299
1,10,"[2, 7, 1]",BruteForce,0.00011540000014065299
1,10,"[2, 4, 1, 3]",BruteForce,0.00011540000014065299
1,10,"[2, 5, 3]",BruteForce,0.00011540000014065299
2,10,"[3, 7]",BruteForce,1.6400000276917126e-05
2,10,"[2, 5, 3]",BruteForce,1.6400000276917126e-05
2,10,"[2, 8]",BruteForce,1.6400000276917126e-05
