instance_id,bin_capacity,bins_array,method,time_taken
0,10,"[2, 5, 3]",BackTracking,5.258300000000188e-05
0,10,"[2, 4, 1, 3]",BackTracking,5.258300000000188e-05
0,10,"[2, 7, 1]",BackTracking,5.258300000000188e-05
0,10,"[2, 8]",BackTracking,5.258300000000188e-05
0,10,"[5, 4, 1]",BackTracking,5.258300000000188e-05
0,10,"[4, 6]",BackTracking,5.258300000000188e-05
0,10,"[7, 3]",BackTracking,5.258300000000188e-05
0,10,"[1, 3, 6]",BackTracking,5.258300000000188e-05
1,10,"[2, 8]",BackTracking,1.1415999999996734e-05
1,10,"[2, 5, 3]",BackTracking,1.1415999999996734e-05
1,10,"[3, 7]",BackTracking,1.1415999999996734e-05
2,15,"[1, 3, 9, 2]",BackTracking,3.954200000000005e-05
2,15,"[1, 5, 9]",BackTracking,3.954200000000005e-05
2,15,"[3, 10, 2]",BackTracking,3.954200000000005e-05
2,15,"[5, 10]",BackTracking,3.954200000000005e-05
2,15,"[5, 2, 8]",BackTracking,3.954200000000005e-05
3,20,"[4, 7, 9]",BackTracking,3.8458999999997634e-05
3,20,"[4, 10, 6]",BackTracking,3.8458999999997634e-05
3,20,"[4, 1, 6, 9]",BackTracking,3.8458999999997634e-05
3,20,"[7, 12, 1]",BackTracking,3.8458999999997634e-05
3,20,"[10, 1, 9]",BackTracking,3.8458999999997634e-05
4,12,"[2, 4, 6]",BackTracking,2.9707999999999818e-05
4,12,"[4, 8]",BackTracking,2.9707999999999818e-05
4,12,"[3, 9]",BackTracking,2.9707999999999818e-05
5,18,"[5, 7, 2, 4]",BackTracking,5.083300000000013e-05
5,18,"[5, 7, 6]",BackTracking,5.083300000000013e-05
5,18,"[5, 9, 4]",BackTracking,5.083300000000013e-05
5,18,"[7, 9, 2]",BackTracking,5.083300000000013e-05
5,18,"[2, 6, 10]",BackTracking,5.083300000000013e-05
6,25,"[3, 12, 10]",BackTracking,3.941599999999698e-05
6,25,"[3, 15, 7]",BackTracking,3.941599999999698e-05
6,25,"[3, 7, 5, 10]",BackTracking,3.941599999999698e-05
6,25,"[8, 12, 5]",BackTracking,3.941599999999698e-05
6,25,"[8, 7, 10]",BackTracking,3.941599999999698e-05
6,25,"[15, 10]",BackTracking,3.941599999999698e-05
7,30,"[1, 6, 23]",BackTracking,3.7124999999998964e-05
7,30,"[6, 11, 13]",BackTracking,3.7124999999998964e-05
