instance_id,bin_capacity,bins_array,method,time_taken
0,10,"[1, 3, 6]",BestCase,0.0003347999881953001
0,10,"[7, 3]",BestCase,0.0003347999881953001
0,10,"[4, 6]",BestCase,0.0003347999881953001
0,10,"[5, 4, 1]",BestCase,0.0003347999881953001
0,10,"[2, 8]",BestCase,0.0003347999881953001
0,10,"[2, 7, 1]",BestCase,0.0003347999881953001
0,10,"[2, 4, 1, 3]",BestCase,0.0003347999881953001
0,10,"[2, 5, 3]",BestCase,0.0003347999881953001
1,10,"[3, 7]",BestCase,4.8799964133650064e-05
1,10,"[2, 5, 3]",BestCase,4.8799964133650064e-05
1,10,"[2, 8]",BestCase,4.8799964133650064e-05
2,15,"[5, 2, 8]",BestCase,0.00013509998098015785
2,15,"[5, 10]",BestCase,0.00013509998098015785
2,15,"[3, 10, 2]",BestCase,0.00013509998098015785
2,15,"[1, 5, 9]",BestCase,0.00013509998098015785
2,15,"[1, 3, 9, 2]",BestCase,0.00013509998098015785
3,20,"[10, 1, 9]",BestCase,0.0003657999914139509
3,20,"[7, 12, 1]",BestCase,0.0003657999914139509
3,20,"[4, 1, 6, 9]",BestCase,0.0003657999914139509
3,20,"[4, 10, 6]",BestCase,0.0003657999914139509
3,20,"[4, 7, 9]",BestCase,0.0003657999914139509
4,12,"[3, 9]",BestCase,0.00013269996270537376
4,12,"[4, 8]",BestCase,0.00013269996270537376
4,12,"[2, 4, 6]",BestCase,0.00013269996270537376
5,18,"[2, 6, 10]",BestCase,8.969998452812433e-05
5,18,"[7, 9, 2]",BestCase,8.969998452812433e-05
5,18,"[5, 9, 4]",BestCase,8.969998452812433e-05
5,18,"[5, 7, 6]",BestCase,8.969998452812433e-05
5,18,"[5, 7, 2, 4]",BestCase,8.969998452812433e-05
6,25,"[15, 10]",BestCase,6.749999010935426e-05
6,25,"[8, 7, 10]",BestCase,6.749999010935426e-05
6,25,"[8, 12, 5]",BestCase,6.749999010935426e-05
6,25,"[3, 7, 5, 10]",BestCase,6.749999010935426e-05
6,25,"[3, 15, 7]",BestCase,6.749999010935426e-05
6,25,"[3, 12, 10]",BestCase,6.749999010935426e-05
7,30,"[13, 17]",BestCase,8.530000923201442e-05
7,30,"[11, 19]",BestCase,8.530000923201442e-05
7,30,"[6, 11, 13]",BestCase,8.530000923201442e-05
7,30,"[1, 6, 23]",BestCase,8.530000923201442e-05
8,16,"[4, 12]",BestCase,2.6500027161091566e-05
9,22,"[8, 14]",BestCase,9.44999628700316e-05
9,22,"[3, 8, 11]",BestCase,9.44999628700316e-05
9,22,"[2, 20]",BestCase,9.44999628700316e-05
9,22,"[2, 3, 17]",BestCase,9.44999628700316e-05
10,28,"[10, 18]",BestCase,0.00010050000855699182
10,28,"[1, 12, 15]",BestCase,0.00010050000855699182
10,28,"[1, 9, 18]",BestCase,0.00010050000855699182
11,35,"[7, 11, 17]",BestCase,0.0002544999588280916
11,35,"[7, 9, 19]",BestCase,0.0002544999588280916
11,35,"[5, 13, 17]",BestCase,0.0002544999588280916
11,35,"[5, 11, 19]",BestCase,0.0002544999588280916
11,35,"[3, 13, 19]",BestCase,0.0002544999588280916
11,35,"[3, 5, 7, 9, 11]",BestCase,0.0002544999588280916
12,40,"[10, 14, 16]",BestCase,0.001514500007033348
12,40,"[10, 12, 18]",BestCase,0.001514500007033348
12,40,"[8, 14, 18]",BestCase,0.001514500007033348
12,40,"[6, 16, 18]",BestCase,0.001514500007033348
12,40,"[6, 8, 12, 14]",BestCase,0.001514500007033348
12,40,"[6, 8, 10, 16]",BestCase,0.001514500007033348
12,40,"[4, 10, 12, 14]",BestCase,0.001514500007033348
12,40,"[4, 8, 12, 16]",BestCase,0.001514500007033348
12,40,"[4, 8, 10, 18]",BestCase,0.001514500007033348
12,40,"[4, 6, 14, 16]",BestCase,0.001514500007033348
12,40,"[4, 6, 12, 18]",BestCase,0.001514500007033348
12,40,"[4, 6, 8, 10, 12]",BestCase,0.001514500007033348
12,40,"[2, 10, 12, 16]",BestCase,0.001514500007033348
12,40,"[2, 8, 14, 16]",BestCase,0.001514500007033348
12,40,"[2, 8, 12, 18]",BestCase,0.001514500007033348
12,40,"[2, 6, 14, 18]",BestCase,0.001514500007033348
12,40,"[2, 6, 8, 10, 14]",BestCase,0.001514500007033348
12,40,"[2, 4, 16, 18]",BestCase,0.001514500007033348
12,40,"[2, 4, 8, 12, 14]",BestCase,0.001514500007033348
12,40,"[2, 4, 8, 10, 16]",BestCase,0.001514500007033348
12,40,"[2, 4, 6, 12, 16]",BestCase,0.001514500007033348
12,40,"[2, 4, 6, 10, 18]",BestCase,0.001514500007033348
13,50,"[20, 30]",BestCase,0.00020790001144632697
13,50,"[15, 35]",BestCase,0.00020790001144632697
13,50,"[10, 15, 25]",BestCase,0.00020790001144632697
13,50,"[5, 20, 25]",BestCase,0.00020790001144632697
13,50,"[5, 15, 30]",BestCase,0.00020790001144632697
13,50,"[5, 10, 35]",BestCase,0.00020790001144632697
13,50,"[5, 10, 15, 20]",BestCase,0.00020790001144632697
14,33,"[9, 11, 13]",BestCase,0.0003665999975055456
14,33,"[7, 11, 15]",BestCase,0.0003665999975055456
14,33,"[7, 9, 17]",BestCase,0.0003665999975055456
14,33,"[3, 13, 17]",BestCase,0.0003665999975055456
14,33,"[3, 11, 19]",BestCase,0.0003665999975055456
15,27,"[5, 10, 12]",BestCase,0.00022879999596625566
15,27,"[5, 8, 14]",BestCase,0.00022879999596625566
15,27,"[2, 5, 20]",BestCase,0.00022879999596625566
15,27,"[2, 5, 8, 12]",BestCase,0.00022879999596625566
16,45,"[21, 24]",BestCase,0.00010040000779554248
16,45,"[12, 15, 18]",BestCase,0.00010040000779554248
16,45,"[9, 15, 21]",BestCase,0.00010040000779554248
16,45,"[9, 12, 24]",BestCase,0.00010040000779554248
16,45,"[6, 18, 21]",BestCase,0.00010040000779554248
16,45,"[6, 15, 24]",BestCase,0.00010040000779554248
16,45,"[6, 9, 12, 18]",BestCase,0.00010040000779554248
17,60,"[25, 35]",BestCase,0.0001962999813258648
17,60,"[12, 18, 30]",BestCase,0.0001962999813258648
17,60,"[10, 15, 35]",BestCase,0.0001962999813258648
17,60,"[5, 25, 30]",BestCase,0.0001962999813258648
17,60,"[5, 12, 18, 25]",BestCase,0.0001962999813258648
17,60,"[5, 10, 15, 30]",BestCase,0.0001962999813258648
17,60,"[5, 10, 12, 15, 18]",BestCase,0.0001962999813258648
18,24,"[11, 13]",BestCase,0.00013729999773204327
18,24,"[3, 8, 13]",BestCase,0.00013729999773204327
19,20,"[9, 11]",BestCase,6.500002928078175e-05
19,20,"[7, 13]",BestCase,6.500002928078175e-05
19,20,"[5, 15]",BestCase,6.500002928078175e-05
20,20,"[3, 6, 11]",BestCase,1.8799968529492617e-05
21,20,"[9, 11]",BestCase,1.1000025551766157e-05
22,20,[19],BestCase,1.7499958630651236e-05
23,20,[19],BestCase,1.0300020221620798e-05
24,20,"[9, 11]",BestCase,1.0599964298307896e-05
25,20,"[2, 18]",BestCase,1.7700018361210823e-05
25,20,"[2, 5, 13]",BestCase,1.7700018361210823e-05
26,20,"[8, 12]",BestCase,1.8899969290941954e-05
26,20,"[3, 17]",BestCase,1.8899969290941954e-05
27,20,"[6, 14]",BestCase,1.0800024028867483e-05
28,20,"[9, 11]",BestCase,3.1999952625483274e-05
28,20,"[7, 13]",BestCase,3.1999952625483274e-05
29,20,[19],BestCase,1.0300020221620798e-05
29,20,"[8, 11]",BestCase,1.0300020221620798e-05
30,18,"[7, 11]",BestCase,3.260001540184021e-05
30,18,"[1, 3, 5, 9]",BestCase,3.260001540184021e-05
31,22,"[10, 12]",BestCase,3.23000131174922e-05
31,22,"[3, 9, 10]",BestCase,3.23000131174922e-05
31,22,"[3, 7, 12]",BestCase,3.23000131174922e-05
32,26,"[5, 8, 13]",BestCase,1.8599967006593943e-05
33,14,"[1, 4, 9]",BestCase,1.8600025214254856e-05
34,28,"[12, 15]",BestCase,1.8199963960796595e-05
34,28,"[6, 9, 12]",BestCase,1.8199963960796595e-05
34,28,"[3, 9, 15]",BestCase,1.8199963960796595e-05
35,32,"[15, 17]",BestCase,3.160000778734684e-05
36,21,"[8, 13]",BestCase,1.7700018361210823e-05
36,21,"[2, 8, 11]",BestCase,1.7700018361210823e-05
37,25,"[10, 15]",BestCase,1.8199963960796595e-05
37,25,"[3, 10, 12]",BestCase,1.8199963960796595e-05
38,19,"[9, 10]",BestCase,1.7700018361210823e-05
38,19,"[4, 6, 9]",BestCase,1.7700018361210823e-05
39,31,"[13, 18]",BestCase,3.130000550299883e-05
39,31,"[6, 12, 13]",BestCase,3.130000550299883e-05
40,36,"[16, 20]",BestCase,1.769996015354991e-05
40,36,"[8, 12, 16]",BestCase,1.769996015354991e-05
40,36,"[4, 12, 20]",BestCase,1.769996015354991e-05
41,15,"[6, 9]",BestCase,1.7200014553964138e-05
41,15,"[2, 6, 7]",BestCase,1.7200014553964138e-05
42,17,"[8, 9]",BestCase,1.0399962775409222e-05
43,23,"[10, 12]",BestCase,1.7600017599761486e-05
43,23,"[6, 8, 10]",BestCase,1.7600017599761486e-05
43,23,"[4, 8, 12]",BestCase,1.7600017599761486e-05
43,23,"[4, 8, 10]",BestCase,1.7600017599761486e-05
43,23,"[4, 6, 12]",BestCase,1.7600017599761486e-05
44,27,"[7, 9, 11]",BestCase,3.279995871707797e-05
44,27,"[5, 9, 13]",BestCase,3.279995871707797e-05
44,27,"[2, 5, 9, 11]",BestCase,3.279995871707797e-05
44,27,"[2, 5, 7, 13]",BestCase,3.279995871707797e-05
45,29,"[13, 17]",BestCase,1.8200022168457508e-05
45,29,"[11, 17]",BestCase,1.8200022168457508e-05
45,29,"[3, 8, 17]",BestCase,1.8200022168457508e-05
46,33,"[15, 18]",BestCase,3.160000778734684e-05
46,33,"[5, 10, 18]",BestCase,3.160000778734684e-05
47,37,"[8, 14, 16]",BestCase,3.3400021493434906e-05
47,37,"[4, 8, 10, 16]",BestCase,3.3400021493434906e-05
47,37,"[4, 8, 10, 14]",BestCase,3.3400021493434906e-05
47,37,"[2, 8, 10, 16]",BestCase,3.3400021493434906e-05
47,37,"[2, 4, 14, 16]",BestCase,3.3400021493434906e-05
47,37,"[2, 4, 8, 10, 14]",BestCase,3.3400021493434906e-05
48,41,"[9, 13, 19]",BestCase,3.489997470751405e-05
48,41,"[5, 17, 19]",BestCase,3.489997470751405e-05
49,45,"[11, 13, 21]",BestCase,6.9500005338341e-05
49,45,"[9, 17, 19]",BestCase,6.9500005338341e-05
49,45,"[6, 9, 13, 17]",BestCase,6.9500005338341e-05
49,45,"[6, 9, 11, 19]",BestCase,6.9500005338341e-05
50,49,"[7, 10, 13, 19]",BestCase,6.769999163225293e-05
50,49,"[4, 10, 16, 19]",BestCase,6.769999163225293e-05
50,49,"[4, 10, 13, 22]",BestCase,6.769999163225293e-05
50,49,"[4, 7, 16, 22]",BestCase,6.769999163225293e-05
51,53,"[15, 18, 21]",BestCase,6.819999543949962e-05
51,53,"[9, 12, 15, 18]",BestCase,6.819999543949962e-05
51,53,"[6, 12, 15, 21]",BestCase,6.819999543949962e-05
51,53,"[6, 9, 18, 21]",BestCase,6.819999543949962e-05
51,53,"[3, 12, 18, 21]",BestCase,6.819999543949962e-05
51,53,"[3, 6, 12, 15, 18]",BestCase,6.819999543949962e-05
51,53,"[3, 6, 9, 15, 21]",BestCase,6.819999543949962e-05
52,57,"[14, 20, 23]",BestCase,6.48999703116715e-05
53,61,"[2, 13, 21, 25]",BestCase,6.529997335746884e-05
54,65,"[15, 23, 27]",BestCase,6.290001329034567e-05
55,12,[11],BestCase,1.939997309818864e-05
55,12,"[4, 9]",BestCase,1.939997309818864e-05
56,16,"[7, 9]",BestCase,2.770003629848361e-05
57,18,"[2, 7, 9]",BestCase,3.090000245720148e-05
58,22,"[9, 13]",BestCase,2.670002868399024e-05
59,26,"[5, 6, 7, 8]",BestCase,5.2200048230588436e-05
60,30,"[3, 7, 9, 11]",BestCase,3.700004890561104e-05
60,30,"[3, 5, 9, 13]",BestCase,3.700004890561104e-05
61,34,"[4, 8, 10, 12]",BestCase,3.450002986937761e-05
61,34,"[2, 4, 6, 10, 12]",BestCase,3.450002986937761e-05
62,38,"[5, 9, 11, 13]",BestCase,6.649998249486089e-05
62,38,"[1, 3, 5, 7, 9, 13]",BestCase,6.649998249486089e-05
63,42,"[10, 14, 18]",BestCase,3.409996861591935e-05
63,42,"[6, 14, 22]",BestCase,3.409996861591935e-05
63,42,"[2, 18, 22]",BestCase,3.409996861591935e-05
64,46,"[21, 25]",BestCase,6.490002851933241e-05
64,46,"[3, 9, 13, 21]",BestCase,6.490002851933241e-05
64,46,"[3, 5, 17, 21]",BestCase,6.490002851933241e-05
64,46,"[3, 5, 13, 25]",BestCase,6.490002851933241e-05
65,50,"[20, 30]",BestCase,7.930002175271511e-05
65,50,"[15, 35]",BestCase,7.930002175271511e-05
65,50,"[10, 15, 25]",BestCase,7.930002175271511e-05
65,50,"[5, 20, 25]",BestCase,7.930002175271511e-05
65,50,"[5, 15, 30]",BestCase,7.930002175271511e-05
65,50,"[5, 10, 35]",BestCase,7.930002175271511e-05
65,50,"[5, 10, 15, 20]",BestCase,7.930002175271511e-05
66,54,"[24, 28]",BestCase,6.629998097196221e-05
66,54,"[12, 20, 24]",BestCase,6.629998097196221e-05
66,54,"[12, 16, 28]",BestCase,6.629998097196221e-05
66,54,"[12, 16, 24]",BestCase,6.629998097196221e-05
66,54,"[8, 20, 28]",BestCase,6.629998097196221e-05
66,54,"[8, 20, 24]",BestCase,6.629998097196221e-05
66,54,"[8, 16, 28]",BestCase,6.629998097196221e-05
66,54,"[8, 12, 16, 20]",BestCase,6.629998097196221e-05
66,54,"[4, 24, 28]",BestCase,6.629998097196221e-05
66,54,"[4, 20, 28]",BestCase,6.629998097196221e-05
66,54,"[4, 12, 16, 24]",BestCase,6.629998097196221e-05
66,54,"[4, 12, 16, 20]",BestCase,6.629998097196221e-05
66,54,"[4, 8, 20, 24]",BestCase,6.629998097196221e-05
66,54,"[4, 8, 16, 28]",BestCase,6.629998097196221e-05
66,54,"[4, 8, 16, 24]",BestCase,6.629998097196221e-05
66,54,"[4, 8, 12, 28]",BestCase,6.629998097196221e-05
67,58,"[15, 19, 23]",BestCase,6.719998782500625e-05
67,58,"[11, 19, 27]",BestCase,6.719998782500625e-05
67,58,"[7, 23, 27]",BestCase,6.719998782500625e-05
67,58,"[3, 7, 11, 15, 23]",BestCase,6.719998782500625e-05
68,62,"[2, 9, 13, 17, 21]",BestCase,0.00015219999477267265
68,62,"[2, 5, 13, 17, 25]",BestCase,0.00015219999477267265
68,62,"[2, 5, 9, 21, 25]",BestCase,0.00015219999477267265
68,62,"[2, 5, 9, 17, 29]",BestCase,0.00015219999477267265
69,66,"[1, 16, 20, 28]",BestCase,0.00013259996194392443
69,66,"[1, 12, 24, 28]",BestCase,0.00013259996194392443
69,66,"[1, 8, 12, 20, 24]",BestCase,0.00013259996194392443
69,66,"[1, 8, 12, 16, 28]",BestCase,0.00013259996194392443
69,66,"[1, 4, 16, 20, 24]",BestCase,0.00013259996194392443
69,66,"[1, 4, 12, 20, 28]",BestCase,0.00013259996194392443
69,66,"[1, 4, 8, 24, 28]",BestCase,0.00013259996194392443
69,66,"[1, 4, 8, 12, 16, 24]",BestCase,0.00013259996194392443
70,70,"[30, 40]",BestCase,0.00012829998740926385
70,70,"[15, 25, 30]",BestCase,0.00012829998740926385
70,70,"[15, 20, 35]",BestCase,0.00012829998740926385
70,70,"[10, 25, 35]",BestCase,0.00012829998740926385
70,70,"[10, 20, 40]",BestCase,0.00012829998740926385
70,70,"[10, 15, 20, 25]",BestCase,0.00012829998740926385
70,70,"[5, 30, 35]",BestCase,0.00012829998740926385
70,70,"[5, 25, 40]",BestCase,0.00012829998740926385
70,70,"[5, 15, 20, 30]",BestCase,0.00012829998740926385
70,70,"[5, 10, 25, 30]",BestCase,0.00012829998740926385
70,70,"[5, 10, 20, 35]",BestCase,0.00012829998740926385
70,70,"[5, 10, 15, 40]",BestCase,0.00012829998740926385
71,74,"[6, 9, 13, 21, 25]",BestCase,0.00013010000111535192
71,74,"[6, 9, 13, 17, 29]",BestCase,0.00013010000111535192
72,78,"[19, 27, 31]",BestCase,0.00012729997979477048
72,78,"[7, 11, 15, 19, 27]",BestCase,0.00012729997979477048
72,78,"[4, 19, 23, 31]",BestCase,0.00012729997979477048
72,78,"[4, 15, 27, 31]",BestCase,0.00012729997979477048
72,78,"[4, 7, 11, 15, 19, 23]",BestCase,0.00012729997979477048
73,82,"[5, 13, 17, 21, 25]",BestCase,0.00012859998969361186
73,82,"[5, 9, 17, 21, 29]",BestCase,0.00012859998969361186
73,82,"[5, 9, 13, 25, 29]",BestCase,0.00012859998969361186
73,82,"[3, 13, 17, 21, 29]",BestCase,0.00012859998969361186
73,82,"[3, 9, 17, 25, 29]",BestCase,0.00012859998969361186
73,82,"[3, 5, 21, 25, 29]",BestCase,0.00012859998969361186
74,86,"[2, 6, 8, 10, 12, 14, 16, 18]",BestCase,0.0002790999715216458
75,90,"[3, 5, 7, 11, 13, 15, 17, 19]",BestCase,0.0008689999813213944
75,90,"[1, 5, 9, 11, 13, 15, 17, 19]",BestCase,0.0008689999813213944
76,94,"[4, 7, 10, 13, 16, 19, 25]",BestCase,0.00013130001025274396
77,98,"[5, 8, 11, 14, 17, 20, 23]",BestCase,0.00012559996685013175
78,102,"[5, 9, 13, 21, 25, 29]",BestCase,0.00025040004402399063
78,102,"[5, 9, 13, 17, 25, 33]",BestCase,0.00025040004402399063
79,106,"[20, 24, 28, 32]",BestCase,0.00012660003267228603
79,106,"[12, 16, 20, 28, 32]",BestCase,0.00012660003267228603
79,106,"[12, 16, 20, 24, 32]",BestCase,0.00012660003267228603
79,106,"[8, 16, 24, 28, 32]",BestCase,0.00012660003267228603
79,106,"[8, 16, 20, 28, 32]",BestCase,0.00012660003267228603
79,106,"[8, 12, 24, 28, 32]",BestCase,0.00012660003267228603
79,106,"[8, 12, 16, 20, 24, 28]",BestCase,0.00012660003267228603
79,106,"[4, 20, 24, 28, 32]",BestCase,0.00012660003267228603
79,106,"[4, 16, 24, 28, 32]",BestCase,0.00012660003267228603
79,106,"[4, 12, 16, 20, 24, 32]",BestCase,0.00012660003267228603
79,106,"[4, 12, 16, 20, 24, 28]",BestCase,0.00012660003267228603
79,106,"[4, 8, 16, 20, 28, 32]",BestCase,0.00012660003267228603
79,106,"[4, 8, 16, 20, 24, 32]",BestCase,0.00012660003267228603
79,106,"[4, 8, 12, 24, 28, 32]",BestCase,0.00012660003267228603
79,106,"[4, 8, 12, 20, 28, 32]",BestCase,0.00012660003267228603
80,110,"[20, 25, 30, 35]",BestCase,0.00012499996228143573
80,110,"[15, 25, 30, 40]",BestCase,0.00012499996228143573
80,110,"[15, 20, 35, 40]",BestCase,0.00012499996228143573
80,110,"[10, 25, 35, 40]",BestCase,0.00012499996228143573
80,110,"[10, 15, 20, 30, 35]",BestCase,0.00012499996228143573
80,110,"[10, 15, 20, 25, 40]",BestCase,0.00012499996228143573
80,110,"[5, 30, 35, 40]",BestCase,0.00012499996228143573
80,110,"[5, 15, 25, 30, 35]",BestCase,0.00012499996228143573
80,110,"[5, 15, 20, 30, 40]",BestCase,0.00012499996228143573
80,110,"[5, 10, 25, 30, 40]",BestCase,0.00012499996228143573
80,110,"[5, 10, 20, 35, 40]",BestCase,0.00012499996228143573
80,110,"[5, 10, 15, 20, 25, 35]",BestCase,0.00012499996228143573
81,114,"[9, 13, 17, 21, 25, 29]",BestCase,0.00025260000256821513
81,114,"[6, 21, 25, 29, 33]",BestCase,0.00025260000256821513
81,114,"[6, 17, 25, 29, 37]",BestCase,0.00025260000256821513
81,114,"[6, 17, 21, 33, 37]",BestCase,0.00025260000256821513
81,114,"[6, 13, 25, 33, 37]",BestCase,0.00025260000256821513
81,114,"[6, 9, 29, 33, 37]",BestCase,0.00025260000256821513
82,118,"[12, 15, 18, 21, 24, 27]",BestCase,0.0002502999850548804
82,118,"[6, 9, 12, 18, 21, 24, 27]",BestCase,0.0002502999850548804
82,118,"[3, 9, 15, 18, 21, 24, 27]",BestCase,0.0002502999850548804
82,118,"[3, 6, 9, 12, 15, 21, 24, 27]",BestCase,0.0002502999850548804
83,122,"[2, 16, 20, 24, 28, 32]",BestCase,0.0002494999789632857
83,122,"[2, 8, 12, 16, 24, 28, 32]",BestCase,0.0002494999789632857
83,122,"[2, 4, 12, 20, 24, 28, 32]",BestCase,0.0002494999789632857
83,122,"[2, 4, 8, 12, 16, 20, 28, 32]",BestCase,0.0002494999789632857
84,126,"[9, 13, 17, 25, 29, 33]",BestCase,0.00024859997211024165
84,126,"[5, 13, 21, 25, 29, 33]",BestCase,0.00024859997211024165
84,126,"[1, 17, 21, 25, 29, 33]",BestCase,0.00024859997211024165
85,130,"[11, 15, 19, 23, 27, 35]",BestCase,0.00015050004003569484
85,130,"[7, 15, 19, 23, 31, 35]",BestCase,0.00015050004003569484
85,130,"[7, 11, 19, 27, 31, 35]",BestCase,0.00015050004003569484
86,134,"[16, 24, 28, 32, 36]",BestCase,0.00012790004257112741
86,134,"[16, 20, 28, 32, 36]",BestCase,0.00012790004257112741
86,134,"[12, 24, 28, 32, 36]",BestCase,0.00012790004257112741
86,134,"[12, 16, 20, 24, 28, 36]",BestCase,0.00012790004257112741
86,134,"[12, 16, 20, 24, 28, 32]",BestCase,0.00012790004257112741
86,134,"[8, 16, 20, 24, 32, 36]",BestCase,0.00012790004257112741
86,134,"[8, 16, 20, 24, 28, 36]",BestCase,0.00012790004257112741
86,134,"[8, 12, 20, 28, 32, 36]",BestCase,0.00012790004257112741
86,134,"[8, 12, 20, 24, 32, 36]",BestCase,0.00012790004257112741
86,134,"[8, 12, 16, 28, 32, 36]",BestCase,0.00012790004257112741
87,138,"[13, 17, 21, 25, 29, 33]",BestCase,0.00012590002734214067
87,138,"[9, 17, 21, 25, 29, 37]",BestCase,0.00012590002734214067
87,138,"[9, 13, 21, 25, 33, 37]",BestCase,0.00012590002734214067
87,138,"[9, 13, 17, 29, 33, 37]",BestCase,0.00012590002734214067
88,142,"[18, 22, 30, 34, 38]",BestCase,0.00012449995847418904
88,142,"[14, 26, 30, 34, 38]",BestCase,0.00012449995847418904
89,146,"[11, 19, 23, 27, 31, 35]",BestCase,0.00012720003724098206
89,146,"[11, 15, 23, 27, 31, 39]",BestCase,0.00012720003724098206
89,146,"[11, 15, 19, 27, 35, 39]",BestCase,0.00012720003724098206
90,150,"[20, 24, 32, 36, 40]",BestCase,0.00012830004561692476
90,150,"[20, 24, 28, 36, 40]",BestCase,0.00012830004561692476
90,150,"[16, 28, 32, 36, 40]",BestCase,0.00012830004561692476
90,150,"[16, 24, 32, 36, 40]",BestCase,0.00012830004561692476
90,150,"[12, 28, 32, 36, 40]",BestCase,0.00012830004561692476
90,150,"[12, 20, 24, 28, 32, 36]",BestCase,0.00012830004561692476
90,150,"[12, 16, 24, 28, 32, 40]",BestCase,0.00012830004561692476
90,150,"[12, 16, 24, 28, 32, 36]",BestCase,0.00012830004561692476
90,150,"[12, 16, 20, 28, 36, 40]",BestCase,0.00012830004561692476
90,150,"[12, 16, 20, 28, 32, 40]",BestCase,0.00012830004561692476
90,150,"[12, 16, 20, 24, 36, 40]",BestCase,0.00012830004561692476
91,154,"[13, 17, 25, 29, 33, 37]",BestCase,0.00012790004257112741
91,154,"[13, 17, 21, 29, 33, 41]",BestCase,0.00012790004257112741
91,154,"[13, 17, 21, 25, 37, 41]",BestCase,0.00012790004257112741
92,158,"[22, 26, 30, 38, 42]",BestCase,0.00012600002810359
92,158,"[18, 26, 34, 38, 42]",BestCase,0.00012600002810359
92,158,"[14, 30, 34, 38, 42]",BestCase,0.00012600002810359
