instance_id,bin_capacity,bins_array,method,time_taken
0,10,"[1, 3, 6]",BruteForce,0.0005508000031113625
0,10,"[7, 3]",BruteForce,0.0005508000031113625
0,10,"[4, 6]",BruteForce,0.0005508000031113625
0,10,"[5, 4, 1]",BruteForce,0.0005508000031113625
0,10,"[2, 8]",BruteForce,0.0005508000031113625
0,10,"[2, 7, 1]",BruteForce,0.0005508000031113625
0,10,"[2, 4, 1, 3]",BruteForce,0.0005508000031113625
0,10,"[2, 5, 3]",BruteForce,0.0005508000031113625
1,10,"[3, 7]",BruteForce,3.7800054997205734e-05
1,10,"[2, 5, 3]",BruteForce,3.7800054997205734e-05
1,10,"[2, 8]",BruteForce,3.7800054997205734e-05
2,15,"[5, 2, 8]",BruteForce,0.00011140014976263046
2,15,"[5, 10]",BruteForce,0.00011140014976263046
2,15,"[3, 10, 2]",BruteForce,0.00011140014976263046
2,15,"[1, 5, 9]",BruteForce,0.00011140014976263046
2,15,"[1, 3, 9, 2]",BruteForce,0.00011140014976263046
3,20,"[10, 1, 9]",BruteForce,0.00010869977995753288
3,20,"[7, 12, 1]",BruteForce,0.00010869977995753288
3,20,"[4, 1, 6, 9]",BruteForce,0.00010869977995753288
3,20,"[4, 10, 6]",BruteForce,0.00010869977995753288
3,20,"[4, 7, 9]",BruteForce,0.00010869977995753288
4,12,"[3, 9]",BruteForce,0.0001237001270055771
4,12,"[4, 8]",BruteForce,0.0001237001270055771
4,12,"[2, 4, 6]",BruteForce,0.0001237001270055771
5,18,"[2, 6, 10]",BruteForce,0.00010659988038241863
5,18,"[7, 9, 2]",BruteForce,0.00010659988038241863
5,18,"[5, 9, 4]",BruteForce,0.00010659988038241863
5,18,"[5, 7, 6]",BruteForce,0.00010659988038241863
5,18,"[5, 7, 2, 4]",BruteForce,0.00010659988038241863
6,25,"[15, 10]",BruteForce,0.00011000013910233974
6,25,"[8, 7, 10]",BruteForce,0.00011000013910233974
6,25,"[8, 12, 5]",BruteForce,0.00011000013910233974
6,25,"[3, 7, 5, 10]",BruteForce,0.00011000013910233974
6,25,"[3, 15, 7]",BruteForce,0.00011000013910233974
6,25,"[3, 12, 10]",BruteForce,0.00011000013910233974
7,30,"[13, 17]",BruteForce,0.00010549998842179775
7,30,"[11, 19]",BruteForce,0.00010549998842179775
7,30,"[6, 11, 13]",BruteForce,0.00010549998842179775
7,30,"[1, 6, 23]",BruteForce,0.00010549998842179775
8,16,"[4, 12]",BruteForce,3.0399998649954796e-05
9,22,"[8, 14]",BruteForce,0.00010440009646117687
9,22,"[3, 8, 11]",BruteForce,0.00010440009646117687
9,22,"[2, 20]",BruteForce,0.00010440009646117687
9,22,"[2, 3, 17]",BruteForce,0.00010440009646117687
10,28,"[10, 18]",BruteForce,0.00010449998080730438
10,28,"[1, 12, 15]",BruteForce,0.00010449998080730438
10,28,"[1, 9, 18]",BruteForce,0.00010449998080730438
11,35,"[7, 11, 17]",BruteForce,0.0002272999845445156
11,35,"[7, 9, 19]",BruteForce,0.0002272999845445156
11,35,"[5, 13, 17]",BruteForce,0.0002272999845445156
11,35,"[5, 11, 19]",BruteForce,0.0002272999845445156
11,35,"[3, 13, 19]",BruteForce,0.0002272999845445156
11,35,"[3, 5, 7, 9, 11]",BruteForce,0.0002272999845445156
12,40,"[10, 14, 16]",BruteForce,0.0005393000319600105
12,40,"[10, 12, 18]",BruteForce,0.0005393000319600105
12,40,"[8, 14, 18]",BruteForce,0.0005393000319600105
12,40,"[6, 16, 18]",BruteForce,0.0005393000319600105
12,40,"[6, 8, 12, 14]",BruteForce,0.0005393000319600105
12,40,"[6, 8, 10, 16]",BruteForce,0.0005393000319600105
12,40,"[4, 10, 12, 14]",BruteForce,0.0005393000319600105
12,40,"[4, 8, 12, 16]",BruteForce,0.0005393000319600105
12,40,"[4, 8, 10, 18]",BruteForce,0.0005393000319600105
12,40,"[4, 6, 14, 16]",BruteForce,0.0005393000319600105
12,40,"[4, 6, 12, 18]",BruteForce,0.0005393000319600105
12,40,"[4, 6, 8, 10, 12]",BruteForce,0.0005393000319600105
12,40,"[2, 10, 12, 16]",BruteForce,0.0005393000319600105
12,40,"[2, 8, 14, 16]",BruteForce,0.0005393000319600105
12,40,"[2, 8, 12, 18]",BruteForce,0.0005393000319600105
12,40,"[2, 6, 14, 18]",BruteForce,0.0005393000319600105
12,40,"[2, 6, 8, 10, 14]",BruteForce,0.0005393000319600105
12,40,"[2, 4, 16, 18]",BruteForce,0.0005393000319600105
12,40,"[2, 4, 8, 12, 14]",BruteForce,0.0005393000319600105
12,40,"[2, 4, 8, 10, 16]",BruteForce,0.0005393000319600105
12,40,"[2, 4, 6, 12, 16]",BruteForce,0.0005393000319600105
12,40,"[2, 4, 6, 10, 18]",BruteForce,0.0005393000319600105
13,50,"[20, 30]",BruteForce,0.00010710000060498714
13,50,"[15, 35]",BruteForce,0.00010710000060498714
13,50,"[10, 15, 25]",BruteForce,0.00010710000060498714
13,50,"[5, 20, 25]",BruteForce,0.00010710000060498714
13,50,"[5, 15, 30]",BruteForce,0.00010710000060498714
13,50,"[5, 10, 35]",BruteForce,0.00010710000060498714
13,50,"[5, 10, 15, 20]",BruteForce,0.00010710000060498714
14,33,"[9, 11, 13]",BruteForce,0.00020979996770620346
14,33,"[7, 11, 15]",BruteForce,0.00020979996770620346
14,33,"[7, 9, 17]",BruteForce,0.00020979996770620346
14,33,"[3, 13, 17]",BruteForce,0.00020979996770620346
14,33,"[3, 11, 19]",BruteForce,0.00020979996770620346
15,27,"[5, 10, 12]",BruteForce,0.0002095999661833048
15,27,"[5, 8, 14]",BruteForce,0.0002095999661833048
15,27,"[2, 5, 20]",BruteForce,0.0002095999661833048
15,27,"[2, 5, 8, 12]",BruteForce,0.0002095999661833048
16,45,"[21, 24]",BruteForce,0.00011430005542933941
16,45,"[12, 15, 18]",BruteForce,0.00011430005542933941
16,45,"[9, 15, 21]",BruteForce,0.00011430005542933941
16,45,"[9, 12, 24]",BruteForce,0.00011430005542933941
16,45,"[6, 18, 21]",BruteForce,0.00011430005542933941
16,45,"[6, 15, 24]",BruteForce,0.00011430005542933941
16,45,"[6, 9, 12, 18]",BruteForce,0.00011430005542933941
17,60,"[25, 35]",BruteForce,0.00021059997379779816
17,60,"[12, 18, 30]",BruteForce,0.00021059997379779816
17,60,"[10, 15, 35]",BruteForce,0.00021059997379779816
17,60,"[5, 25, 30]",BruteForce,0.00021059997379779816
17,60,"[5, 12, 18, 25]",BruteForce,0.00021059997379779816
17,60,"[5, 10, 15, 30]",BruteForce,0.00021059997379779816
17,60,"[5, 10, 12, 15, 18]",BruteForce,0.00021059997379779816
18,24,"[11, 13]",BruteForce,0.0002826000563800335
18,24,"[3, 8, 13]",BruteForce,0.0002826000563800335
19,20,"[9, 11]",BruteForce,0.0001129999291151762
19,20,"[7, 13]",BruteForce,0.0001129999291151762
19,20,"[5, 15]",BruteForce,0.0001129999291151762
20,20,"[3, 6, 11]",BruteForce,2.9899878427386284e-05
21,20,"[9, 11]",BruteForce,1.700012944638729e-05
22,20,[0],BruteForce,2.8900103643536568e-05
23,20,[0],BruteForce,1.66997779160738e-05
24,20,"[9, 11]",BruteForce,1.6300007700920105e-05
25,20,"[2, 18]",BruteForce,2.8799986466765404e-05
25,20,"[2, 5, 13]",BruteForce,2.8799986466765404e-05
26,20,"[8, 12]",BruteForce,2.8899870812892914e-05
26,20,"[3, 17]",BruteForce,2.8899870812892914e-05
27,20,"[6, 14]",BruteForce,1.6399892047047615e-05
28,20,"[9, 11]",BruteForce,5.2800169214606285e-05
28,20,"[7, 13]",BruteForce,5.2800169214606285e-05
29,20,[0],BruteForce,1.650000922381878e-05
30,18,"[7, 11]",BruteForce,5.330005660653114e-05
30,18,"[1, 3, 5, 9]",BruteForce,5.330005660653114e-05
31,22,"[10, 12]",BruteForce,5.329982377588749e-05
31,22,"[3, 9, 10]",BruteForce,5.329982377588749e-05
31,22,"[3, 7, 12]",BruteForce,5.329982377588749e-05
32,26,"[5, 8, 13]",BruteForce,2.8799986466765404e-05
33,14,"[1, 4, 9]",BruteForce,2.859998494386673e-05
34,28,[0],BruteForce,2.8700102120637894e-05
35,32,"[15, 17]",BruteForce,5.430006422102451e-05
36,21,"[8, 13]",BruteForce,2.9100105166435242e-05
36,21,"[2, 8, 11]",BruteForce,2.9100105166435242e-05
37,25,"[10, 15]",BruteForce,2.9399991035461426e-05
37,25,"[3, 10, 12]",BruteForce,2.9399991035461426e-05
38,19,"[9, 10]",BruteForce,2.8799986466765404e-05
38,19,"[4, 6, 9]",BruteForce,2.8799986466765404e-05
39,31,"[13, 18]",BruteForce,5.370005965232849e-05
39,31,"[6, 12, 13]",BruteForce,5.370005965232849e-05
40,36,"[16, 20]",BruteForce,2.9899878427386284e-05
40,36,"[8, 12, 16]",BruteForce,2.9899878427386284e-05
40,36,"[4, 12, 20]",BruteForce,2.9899878427386284e-05
41,15,"[6, 9]",BruteForce,2.8999987989664078e-05
41,15,"[2, 6, 7]",BruteForce,2.8999987989664078e-05
42,17,"[8, 9]",BruteForce,1.659989356994629e-05
43,23,[0],BruteForce,2.8799986466765404e-05
44,27,"[7, 9, 11]",BruteForce,5.439994856715202e-05
44,27,"[5, 9, 13]",BruteForce,5.439994856715202e-05
44,27,"[2, 5, 9, 11]",BruteForce,5.439994856715202e-05
44,27,"[2, 5, 7, 13]",BruteForce,5.439994856715202e-05
45,29,[0],BruteForce,2.9099872335791588e-05
46,33,"[15, 18]",BruteForce,5.370005965232849e-05
46,33,"[5, 10, 18]",BruteForce,5.370005965232849e-05
47,37,[0],BruteForce,5.319993942975998e-05
48,41,"[9, 13, 19]",BruteForce,5.340017378330231e-05
48,41,"[5, 17, 19]",BruteForce,5.340017378330231e-05
49,45,"[11, 13, 21]",BruteForce,0.00010549998842179775
49,45,"[9, 17, 19]",BruteForce,0.00010549998842179775
49,45,"[6, 9, 13, 17]",BruteForce,0.00010549998842179775
49,45,"[6, 9, 11, 19]",BruteForce,0.00010549998842179775
50,49,"[7, 10, 13, 19]",BruteForce,0.0001050999853760004
50,49,"[4, 10, 16, 19]",BruteForce,0.0001050999853760004
50,49,"[4, 10, 13, 22]",BruteForce,0.0001050999853760004
50,49,"[4, 7, 16, 22]",BruteForce,0.0001050999853760004
51,53,[0],BruteForce,0.00011279992759227753
52,57,"[14, 20, 23]",BruteForce,0.00010399986058473587
53,61,"[2, 13, 21, 25]",BruteForce,0.00010429997928440571
54,65,"[15, 23, 27]",BruteForce,0.00010369997471570969
55,12,[0],BruteForce,2.9300106689333916e-05
56,16,"[7, 9]",BruteForce,2.8999987989664078e-05
57,18,"[2, 7, 9]",BruteForce,2.9499875381588936e-05
58,22,"[9, 13]",BruteForce,2.8999987989664078e-05
59,26,"[5, 6, 7, 8]",BruteForce,2.9199989512562752e-05
60,30,"[3, 7, 9, 11]",BruteForce,5.340017378330231e-05
60,30,"[3, 5, 9, 13]",BruteForce,5.340017378330231e-05
61,34,"[4, 8, 10, 12]",BruteForce,5.339994095265865e-05
61,34,"[2, 4, 6, 10, 12]",BruteForce,5.339994095265865e-05
62,38,"[5, 9, 11, 13]",BruteForce,0.00010469998233020306
62,38,"[1, 3, 5, 7, 9, 13]",BruteForce,0.00010469998233020306
63,42,"[10, 14, 18]",BruteForce,5.430006422102451e-05
63,42,"[6, 14, 22]",BruteForce,5.430006422102451e-05
63,42,"[2, 18, 22]",BruteForce,5.430006422102451e-05
64,46,"[21, 25]",BruteForce,0.00010529998689889908
64,46,"[3, 9, 13, 21]",BruteForce,0.00010529998689889908
64,46,"[3, 5, 17, 21]",BruteForce,0.00010529998689889908
64,46,"[3, 5, 13, 25]",BruteForce,0.00010529998689889908
65,50,"[20, 30]",BruteForce,0.00010529998689889908
65,50,"[15, 35]",BruteForce,0.00010529998689889908
65,50,"[10, 15, 25]",BruteForce,0.00010529998689889908
65,50,"[5, 20, 25]",BruteForce,0.00010529998689889908
65,50,"[5, 15, 30]",BruteForce,0.00010529998689889908
65,50,"[5, 10, 35]",BruteForce,0.00010529998689889908
65,50,"[5, 10, 15, 20]",BruteForce,0.00010529998689889908
66,54,[0],BruteForce,0.0001050999853760004
67,58,[0],BruteForce,0.00010489998385310173
68,62,"[2, 9, 13, 17, 21]",BruteForce,0.00022089993581175804
68,62,"[2, 5, 13, 17, 25]",BruteForce,0.00022089993581175804
68,62,"[2, 5, 9, 21, 25]",BruteForce,0.00022089993581175804
68,62,"[2, 5, 9, 17, 29]",BruteForce,0.00022089993581175804
69,66,[0],BruteForce,0.00020890007726848125
70,70,"[30, 40]",BruteForce,0.0002093999646604061
70,70,"[15, 25, 30]",BruteForce,0.0002093999646604061
70,70,"[15, 20, 35]",BruteForce,0.0002093999646604061
70,70,"[10, 25, 35]",BruteForce,0.0002093999646604061
